,codigo,cobacia,cocursodag,q95,XGBRFRegressor_intervalo_i,XGBRFRegressor_intervalo_f,XGBRFRegressor_qtde_dados,XGBRFRegressor_desvio_padrao,XGBRFRegressor_media,XGBRFRegressor_media_lower_bound,XGBRFRegressor_media_upper_bound,XGBRFRegressor_mediana,XGBRFRegressor_mediana_lower_bound,XGBRFRegressor_mediana_upper_bound,XGBRFRegressor_moda,XGBRFRegressor_dentro_intervalo
"(41780002,)","(41780002,)",7694837,76948,8.7703,0.6897302120923996,52.299224853515625,196,17.52387809753418,18.39784,16.11359977722168,20.7629638671875,17.86594009399414,8.101074504852296,20.85886573791504,0.49970686,1
"(41818000,)","(41818000,)",7694713,7694,41.95629000000001,16.34198741912842,306.040544128418,195,95.38764953613281,89.623436,77.25870380401611,102.65480880737304,54.25906753540039,48.48143768310547,59.790122985839844,2.2830727,1
"(41890000,)","(41890000,)",7694439,76944,1.0565,0.6725660905241966,144.52468147277835,200,39.18201446533203,41.224205,36.19226551055908,46.665414524078365,29.685386657714844,26.420673370361328,33.67421579360962,0.43977517,1
"(41940000,)","(41940000,)",76942133,76942,0.3474,0.5235688269138337,55.69143743515015,180,17.20148468017578,12.069923,9.806131315231323,14.704400205612181,2.613802909851074,1.0882945597171785,4.204169273376465,0.49304986,0
"(41990000,)","(41990000,)",76941371,7694,49.4681,24.471412563323973,402.0081504821775,214,112.12251281738281,135.04388,121.27078418731689,150.60514221191406,93.96224975585938,77.13443756103516,111.82432975769044,6.237414,1
"(42089998,)","(42089998,)",769257,7692,0.9925,0.7530530840158463,144.5568580627442,195,41.440040588378906,48.141254,42.466967010498045,54.14401016235352,39.08396530151367,33.14274597167969,44.28561019897461,0.3610956,1
"(42100000,)","(42100000,)",7692453,76924,0.265,0.6185309216380119,53.27493715286255,206,15.35061264038086,11.1856,9.357073283195495,13.223242855072021,2.332965135574341,1.3412349224090576,4.908479022979736,0.46363086,0
"(42145498,)","(42145498,)",769235,7692,1.4438,0.7141724720597267,166.45118103027335,204,46.65217971801758,53.184837,46.77234830856323,59.95932121276856,38.61650085449219,34.56105422973633,45.58922576904297,0.6212278,1
"(42187000,)","(42187000,)",76912733,76912,0.9316,0.5574801564216614,57.37861251831054,209,17.741548538208008,12.145034,9.884428524971009,14.635275363922117,1.4161090850830078,1.0543302297592163,2.4887580513954153,0.44935834,1
"(42210000,)","(42210000,)",7691133,76,351.6975,170.49178886413574,692.9829559326172,186,133.38320922851562,339.99884,321.2195899963379,359.9602729797363,293.655517578125,288.2821960449219,299.49582824707034,88.43159,1
"(42250000,)","(42250000,)",76899393,768,1.3146,0.6214952781796456,43.36857566833495,182,13.116172790527344,9.883231,8.132671308517455,11.792107200622558,1.88987398147583,1.1215323209762573,3.8901877462863923,0.5170434,1
"(42251000,)","(42251000,)",7689577,768,4.2191,0.635505297780037,41.84653530120847,184,15.38707160949707,12.181855,10.026704788208008,14.669683480262757,5.398176193237305,3.297367811203003,7.481179237365723,0.4795333,1
"(42255000,)","(42255000,)",768944393,768944,0.5634,0.5431036293506623,42.89328231811522,197,12.281283378601074,8.796188,7.17375910282135,10.672294878959656,1.277961015701294,0.9780058860778809,2.9644298553466797,0.46293616,1
"(42257000,)","(42257000,)",7689411,76894,3.9056,0.5642015337944031,43.3823127746582,186,13.302986145019531,12.173993,10.368849873542786,14.177010846138,5.14834451675415,3.146668165922165,9.05770206451416,0.46939385,1
"(42290000,)","(42290000,)",768911,768,14.04103499999995,5.268109321594238,167.87073364257805,177,47.83741760253906,53.2243,46.627813053131106,60.650629138946535,41.42169189453125,37.46839904785156,46.190643310546875,0.6458646,1
"(42365000,)","(42365000,)",7688133,7688,9.8188,0.5803221315145493,47.32339429855347,216,16.14385986328125,16.29404,14.053218531608582,18.487615728378294,14.854791641235352,8.612112045288086,19.342599868774414,0.46293616,1
"(42395000,)","(42395000,)",768755,768,24.3336,9.555347347259522,283.56169433593743,213,72.73131561279297,71.742775,62.525347518920896,82.08685207366943,50.35887145996094,47.0064811706543,52.83983240127561,0.73002976,1
"(42435000,)","(42435000,)",768641,76864,1.5634,0.5979914784431457,129.20091629028312,199,33.485836029052734,27.011679,22.690000534057617,31.77467303276062,18.822385787963867,10.984538078308105,22.875064849853516,0.46293616,1
"(42440000,)","(42440000,)",7686915,7686,1.2908,0.5662014752626419,43.59458541870117,207,13.136714935302734,10.297584,8.526668119430543,12.124511241912842,2.6098926067352295,1.1301078796386719,4.795717716217041,0.46939385,1
"(42460000,)","(42460000,)",76847751,7684,14.8822,1.000188134610653,132.16754760742185,202,34.668121337890625,41.264523,37.000427436828616,46.280152034759524,33.06240463256836,28.223751068115234,37.98741149902344,0.7981056,1
