,index,q95,rodada,y_pred_XGBRegressor
19,107,592.418,1755,499.25302
20,45,1.523,1755,3.2053397
21,119,649.721,1755,653.76996
22,149,749.272,1755,803.8398
23,6,4.138,1755,2.9048717
24,31,2.27,1755,4.9062896
25,12,4.6613,1755,9.313677
26,15,20.7338,1755,28.713652
27,55,41.95629000000001,1755,33.31615
28,98,0.9242,1755,12.463453
29,104,60.6356,1755,33.66944
0,91,2.2008,1756,0.8328059
1,20,2.254,1756,1.9072813
2,63,351.6975,1756,232.08412
3,109,21.0648,1756,10.301121
4,78,1.1114,1756,1.5744001
5,37,9.669585,1756,16.557552
6,82,0.8080000000000002,1756,0.98546875
7,52,30.8772,1756,26.25695
8,34,1.8049,1756,2.6856797
9,141,806.112,1756,803.3323
10,28,0.1309,1756,0.117277265
11,24,19.7695,1756,22.828598
12,73,14.8822,1756,3.9010386
13,145,710.2378499999994,1756,780.8196
14,27,0.1986199999999995,1756,0.11929249
15,95,6.8993,1756,2.0320313
16,117,653.749,1756,656.05804
17,1,7.1585,1756,4.43411
18,47,0.98,1756,1.6627111
19,81,60.9434,1756,79.02479
20,142,0.0,1756,7.34516
21,51,27.9617,1756,23.13639
22,149,749.272,1756,804.8682
23,114,116.727,1756,59.315735
24,21,1.91,1756,1.9167778
25,22,12.6221,1756,7.282122
26,49,0.5381,1756,0.8873439
27,33,4.3,1756,4.501716
28,15,20.7338,1756,29.142593
29,131,65.8824,1756,35.830345
0,37,9.669585,1757,17.796835
1,22,12.6221,1757,7.286172
2,115,100.569,1757,56.032494
3,41,3.4419,1757,2.3203747
4,93,19.7051,1757,31.918308
5,81,60.9434,1757,45.846615
6,68,14.04103499999995,1757,20.462164
7,50,1.4889,1757,1.6004287
8,100,0.0224,1757,4.8385596
9,114,116.727,1757,53.34277
10,136,0.1093,1757,-8.353155
11,12,4.6613,1757,5.1766343
12,34,1.8049,1757,1.9224436
13,118,674.9713000000012,1757,652.13916
14,91,2.2008,1757,1.0461537
15,145,710.2378499999994,1757,777.3258
16,49,0.5381,1757,1.5222567
17,88,5.661469999999989,1757,2.7693217
18,90,21.952,1757,26.192862
19,4,30.2281,1757,37.412045
20,18,0.4606,1757,1.967383
21,99,0.2635,1757,1.9256657
22,40,0.8705000000000002,1757,1.4573394
23,56,1.0565,1757,0.06133193
24,61,1.4438,1757,7.5169406
25,131,65.8824,1757,44.81763
26,127,92.2362,1757,51.84629
27,138,819.714,1757,805.46844
28,43,1.3317,1757,2.3164248
29,28,0.1309,1757,0.22187504
0,88,5.661469999999989,1758,5.7806764
1,145,710.2378499999994,1758,779.54315
2,23,16.2733,1758,21.842472
3,78,1.1114,1758,1.145072
4,11,2.2915,1758,4.5322614
5,135,0.0813,1758,0.12507811
6,132,63.9294,1758,54.075928
7,90,21.952,1758,24.266886
8,58,49.4681,1758,38.232273
9,5,0.4344,1758,2.5520253
10,37,9.669585,1758,17.725834
11,20,2.254,1758,2.073028
12,31,2.27,1758,3.93878
13,99,0.2635,1758,-1.1503632
14,36,2.8698,1758,1.9047182
15,3,1.143840000000003,1758,2.3887787
16,38,230.307,1758,266.67413
17,41,3.4419,1758,1.2216828
18,59,0.9925,1758,0.5278317
19,125,4.1632,1758,19.129707
20,74,14.6056,1758,15.776458
21,42,11.5124,1758,3.5972097
22,12,4.6613,1758,5.1782727
23,34,1.8049,1758,1.8924481
24,123,22.3438,1758,34.899582
25,56,1.0565,1758,0.27919257
26,126,26.5578,1758,34.09279
27,16,4.3194,1758,4.052484
28,80,48.2795,1758,73.99266
29,83,4.8713,1758,4.8484716
0,120,12.7955,1759,9.403992
1,34,1.8049,1759,1.4975781
2,36,2.8698,1759,1.4868951
3,9,50.0127,1759,41.278137
4,37,9.669585,1759,14.309182
5,25,0.036,1759,0.081926875
6,112,38.6483,1759,29.694351
7,20,2.254,1759,2.8217757
8,119,649.721,1759,675.167
9,8,1.06597,1759,2.0144908
10,55,41.95629000000001,1759,43.945717
11,98,0.9242,1759,6.9089284
12,96,539.255,1759,480.3327
13,54,8.7703,1759,10.721775
14,129,91.2264,1759,93.81321
15,24,19.7695,1759,24.770817
16,71,1.5634,1759,2.2894847
17,92,26.507345,1759,23.102428
18,146,781.017,1759,808.21246
19,63,351.6975,1759,231.33617
20,90,21.952,1759,23.134085
21,86,417.366,1759,231.40858
22,103,35.2917,1759,12.963449
23,79,19.0626,1759,16.456493
24,27,0.1986199999999995,1759,0.081926875
25,130,23.9332,1759,30.720175
26,1,7.1585,1759,4.7446604
27,101,0.0,1759,54.275482
28,42,11.5124,1759,5.69476
29,91,2.2008,1759,1.2008754
0,17,0.7619,1760,0.9728668
1,4,30.2281,1760,21.84444
2,13,0.6751,1760,0.37557614
3,84,6.2164,1760,17.641962
4,95,6.8993,1760,7.983987
5,93,19.7051,1760,26.815939
6,76,0.9202,1760,1.108399
7,37,9.669585,1760,18.79162
8,149,749.272,1760,711.3326
9,122,1.7296,1760,1.9313599
10,143,0.0,1760,0.16688228
11,15,20.7338,1760,27.867292
12,99,0.2635,1760,-0.79736733
13,148,804.869,1760,711.3326
14,108,521.196,1760,592.54767
15,133,155.102,1760,93.968025
16,79,19.0626,1760,15.960414
17,96,539.255,1760,481.52386
18,104,60.6356,1760,38.226063
19,50,1.4889,1760,0.9028296
