,index,q95,rodada,y_pred_brr
14,120,12.7955,230,23.086383076067023
15,66,0.5634,230,-5.002468954646162
16,82,0.8080000000000002,230,-11.853234072038731
17,115,100.569,230,69.47520975948433
18,106,64.84307000000018,230,34.990696890688476
19,144,0.0,230,-34.09024509702925
20,47,0.98,230,-0.9958195562792582
21,72,1.2908,230,-4.332461562791266
22,136,0.1093,230,-9.11763453996744
23,61,1.4438,230,6.469924712401976
24,148,804.869,230,770.3762661937898
25,83,4.8713,230,-1.5495195662619636
26,70,24.3336,230,36.925411302680565
27,78,1.1114,230,-5.8148662458807365
28,141,806.112,230,785.1282094394892
29,84,6.2164,230,2.4844561834832177
0,11,2.2915,231,3.475529450394376
1,95,6.8993,231,9.809349015658
2,96,539.255,231,515.6515546724997
3,56,1.0565,231,-7.285333906228587
4,125,4.1632,231,31.04122252080866
5,121,25.9419,231,33.766836293817185
6,17,0.7619,231,-0.10632402575892286
7,115,100.569,231,72.66544287018583
8,38,230.307,231,194.08257307842356
9,48,26.3377,231,24.15077270564464
10,140,0.0,231,7.4498490050651895
11,132,63.9294,231,53.0796332643752
12,123,22.3438,231,31.263891799044288
13,82,0.8080000000000002,231,-6.909685432880195
14,6,4.138,231,-1.15407173322005
15,41,3.4419,231,3.050817207002325
16,65,4.2191,231,1.7022647711317944
17,7,44.5338,231,33.06864867577627
18,142,0.0,231,2.770229556048136
19,73,14.8822,231,13.746176651616508
20,61,1.4438,231,3.7935859205432223
21,110,19.308,231,30.912064970081843
22,29,0.2903,231,7.215839816041239
23,49,0.5381,231,-1.2217172117139938
24,42,11.5124,231,8.444589765038415
25,108,521.196,231,600.0079124168004
26,90,21.952,231,51.51011678999389
27,116,651.657800000002,231,667.8198660024332
28,26,0.0785,231,6.9273581098910455
29,69,9.8188,231,5.395321509555529
0,136,0.1093,232,6.099217124949263
1,85,72.7823,232,114.64012633287825
2,49,0.5381,232,-0.8170465225083632
3,11,2.2915,232,6.548583731684985
4,45,1.523,232,2.857829567554546
5,63,351.6975,232,289.9121346038953
6,88,5.661469999999989,232,13.816247903907296
7,147,0.0,232,40.48593216498962
8,39,1.46,232,2.9059468936775374
9,69,9.8188,232,7.6542726135806305
10,33,4.3,232,5.758606332065398
11,124,44.9176,232,64.51229059170107
12,102,29.2342,232,21.28214398829516
13,5,0.4344,232,0.781228407311275
14,122,1.7296,232,17.655083552855928
15,72,1.2908,232,0.8415374457542555
16,93,19.7051,232,62.96874087076955
17,80,48.2795,232,88.23835183996796
18,58,49.4681,232,64.0361717160629
19,17,0.7619,232,1.17879659825023
20,137,893.539,232,792.6678031557718
21,100,0.0224,232,16.790299023639932
22,131,65.8824,232,46.943775771181514
23,112,38.6483,232,27.411249495410615
24,73,14.8822,232,16.97197568570239
25,23,16.2733,232,16.86288693317705
26,123,22.3438,232,29.938135349457838
27,76,0.9202,232,0.6386807962642251
28,42,11.5124,232,7.913947207410914
29,86,417.366,232,417.3523720016786
0,78,1.1114,233,-1.4693599485459004
1,128,90.0729,233,85.5072511970197
2,16,4.3194,233,6.88397715971297
3,112,38.6483,233,25.750753607077655
4,100,0.0224,233,15.734552507956636
5,130,23.9332,233,27.35015744910639
6,23,16.2733,233,16.33474107247524
7,99,0.2635,233,2.0739813782897585
8,11,2.2915,233,4.736085611376566
9,91,2.2008,233,-2.8090853526523176
10,10,7.8011,233,10.877583884691589
11,66,0.5634,233,-3.370202313424926
12,61,1.4438,233,6.413589471773506
13,57,0.3474,233,-2.9497805722858317
14,56,1.0565,233,-3.8582045725565166
15,121,25.9419,233,29.92765336754387
16,50,1.4889,233,0.17909219603808424
17,65,4.2191,233,2.449802955776647
18,104,60.6356,233,32.807556666204306
19,59,0.9925,233,1.9016790485430874
20,110,19.308,233,28.55265173858544
21,77,1.0102,233,-2.5273022511353815
22,142,0.0,233,-2.493460469648028
23,53,0.0535,233,-3.343755640210219
24,136,0.1093,233,-2.686977297545141
25,7,44.5338,233,33.8041621219651
26,46,21.8598,233,18.72738721824379
27,87,3.9026,233,9.778901984718388
28,107,592.418,233,583.1763669368966
29,71,1.5634,233,0.9923979236844076
0,139,0.0,234,0.4228027607472882
1,99,0.2635,234,0.8613403937195585
2,8,1.06597,234,-1.2064444070938265
3,64,1.3146,234,2.0428170987023293
4,3,1.143840000000003,234,1.4778638056679227
5,45,1.523,234,2.20440112881829
6,27,0.1986199999999995,234,8.32010952542116
7,90,21.952,234,50.911985153460556
8,46,21.8598,234,17.564513080461666
9,107,592.418,234,584.016401347871
10,143,0.0,234,-29.06279316796372
11,109,21.0648,234,23.014000373597028
12,14,3.1201,234,10.717035042890927
13,25,0.036,234,7.706878382180321
14,147,0.0,234,34.15099445633865
15,76,0.9202,234,-2.406147287992752
16,110,19.308,234,30.960930611043835
17,40,0.8705000000000002,234,1.9186740748309177
18,85,72.7823,234,114.03377794234612
19,84,6.2164,234,5.905272135456968
20,142,0.0,234,-12.455494979657416
21,87,3.9026,234,9.626404178063837
22,36,2.8698,234,1.9890237092709668
23,4,30.2281,234,20.901577160819542
24,38,230.307,234,191.96725753771346
25,48,26.3377,234,22.63243549575084
26,145,710.2378499999994,234,789.8715867930337
27,70,24.3336,234,38.76327762258671
28,97,499.1056,234,519.5030810633273
29,24,19.7695,234,23.208041492385902
0,10,7.8011,235,12.791045033527766
1,6,4.138,235,-0.3641458020303787
2,50,1.4889,235,0.9275375808504833
3,87,3.9026,235,9.197980015206241
4,22,12.6221,235,13.986777652634345
5,143,0.0,235,-25.637059726611838
6,94,480.486,235,492.7929239928354
7,14,3.1201,235,11.099543971755153
8,120,12.7955,235,24.308911101200067
9,62,0.9316,235,-1.3530795762711563
10,139,0.0,235,9.33430156584194
11,149,749.272,235,812.2062319234341
12,49,0.5381,235,0.646520224644803
13,82,0.8080000000000002,235,-7.59307665173074
14,43,1.3317,235,4.052887845931195
15,9,50.0127,235,48.05865325310755
16,58,49.4681,235,65.35097595448806
17,19,1.9377,235,7.318060011184386
18,61,1.4438,235,5.796078172203735
19,56,1.0565,235,-4.650799460611296
20,109,21.0648,235,22.324448613278733
21,145,710.2378499999994,235,804.8074861932388
22,12,4.6613,235,10.023982159594397
23,18,0.4606,235,-0.67860327140734
24,78,1.1114,235,-2.7468031035672453
25,67,3.9056,235,2.639375404050341
26,77,1.0102,235,-3.968542370842556
27,126,26.5578,235,34.23098204276642
28,119,649.721,235,689.8701116684376
29,25,0.036,235,8.345632828179575
0,121,25.9419,236,31.993224550268536
1,73,14.8822,236,13.637182570767749
2,16,4.3194,236,5.774499858545639
3,95,6.8993,236,9.140500015182894
4,60,0.265,236,-4.3899906434004095
5,128,90.0729,236,86.27288839722789
6,18,0.4606,236,-0.9073403109651395
7,69,9.8188,236,4.9793224939014635
8,144,0.0,236,-4.6703809045057625
9,132,63.9294,236,50.64779294882015
10,79,19.0626,236,24.795362777887362
11,94,480.486,236,492.6420313725464
12,131,65.8824,236,42.90305663904711
13,124,44.9176,236,63.852116393126394
14,21,1.91,236,5.1188018883750885
15,62,0.9316,236,-1.88965159698607
16,75,16.5676,236,17.78714768467482
17,137,893.539,236,804.0627616177701
18,7,44.5338,236,32.48761998926121
19,32,4.744,236,2.931716828826694
20,6,4.138,236,-1.282296901296391
21,71,1.5634,236,0.15268863348659067
22,63,351.6975,236,291.94217744275716
23,123,22.3438,236,29.192655506185105
24,145,710.2378499999994,236,780.7702901017199
25,104,60.6356,236,34.04386077767465
26,122,1.7296,236,15.649824026561618
27,61,1.4438,236,4.763546094550762
28,110,19.308,236,29.39337811991092
29,108,521.196,236,595.5019156350409
0,114,116.727,237,67.58808689316824
1,70,24.3336,237,37.834037808189386
2,142,0.0,237,-2.655474694416668
3,39,1.46,237,2.7544352040880824
4,66,0.5634,237,-2.1459127764452717
5,48,26.3377,237,23.92580058753566
6,87,3.9026,237,10.391800913107943
7,106,64.84307000000018,237,38.07407285724147
8,82,0.8080000000000002,237,-5.1971608962494145
9,19,1.9377,237,5.053626734260263
10,42,11.5124,237,7.696555528031283
11,93,19.7051,237,61.60146339151181
12,18,0.4606,237,-0.5517763000323441
13,38,230.307,237,191.11425743059124
14,89,14.256,237,36.28690445974797
15,0,2.601039999999997,237,-0.9865697009207679
