,codigo,cobacia,cocursodag,q95,svr_intervalo_i,svr_intervalo_f,svr_qtde_dados,svr_desvio_padrao,svr_media,svr_media_lower_bound,svr_media_upper_bound,svr_mediana,svr_mediana_lower_bound,svr_mediana_upper_bound,svr_moda,svr_dentro_intervalo
"(42546000,)","(42546000,)",7684473,76844,1.1114,6.876427654502079,16.605577552404142,184,2.5157173857720876,11.767185887264151,11.374870587013318,12.14635218535716,11.711025105209394,11.17642537364259,12.237902200573654,4.461328255306716,0
"(42600000,)","(42600000,)",7684319,7684,19.0626,8.118994303520253,17.904876707603314,208,2.661915699313127,13.126563873621159,12.778547716390216,13.496858763171947,12.95582668401713,12.498636242042354,13.397730246092834,7.516706175042907,0
"(42690001,)","(42690001,)",7683771,768,48.2795,8.529135508641126,21.07994494741756,210,3.1931311079528384,14.241292765951398,13.767964778174388,14.704124669443798,14.133073361922307,13.532020915254309,14.514952062448273,7.225172844338195,0
"(42750000,)","(42750000,)",76833,768,60.9434,9.304831202144042,19.20396996719441,194,2.926388495411149,14.51183658548409,14.133461701102446,14.905749578654062,14.45735359944429,14.103254788315226,14.792463860720282,7.673018816690458,0
"(42840000,)","(42840000,)",76829935,7682,0.8080000000000002,3.8039049629110226,13.659076663008223,193,2.6026470896035527,8.73372225926269,8.38782341925271,9.099932567576902,8.777887545993167,8.132198529636021,9.400258028760309,2.6312733945644355,0
"(42850000,)","(42850000,)",7682353,7682,4.8713,7.1983141843235945,16.680902398558988,202,2.5780870942996432,12.137148857904581,11.76954918221478,12.491718409479128,12.27604879075855,11.71883014765308,12.614221697861188,5.043513792800024,0
"(42860000,)","(42860000,)",768215,7682,6.2164,7.69153247100823,16.500681139532407,180,2.4890205250314867,12.593321480103219,12.229255288486742,12.948163067602408,12.85538595388384,12.634434400512653,13.441359439459113,6.327731000245967,0
"(42980000,)","(42980000,)",768173,768,72.7823,8.990286887322835,21.5895435320842,191,3.3569648134013286,15.677660596353398,15.250798058093446,16.135248820647437,15.545290940767096,15.083255745968081,16.08330608751062,7.678111820441297,0
"(43200000,)","(43200000,)",76795,76,417.366,11.901199513686322,23.225858002050657,210,3.1463083030946275,18.219296984507768,17.794399266706428,18.622438706499388,18.569729937328432,18.229447506629477,19.150732842149825,9.78010572726069,0
"(43250002,)","(43250002,)",76789191,7678,3.9026,8.135907822396142,17.58294306459471,193,2.3435214955158057,13.203299489577278,12.882183768341198,13.53045648628452,13.171005773015308,12.770573736907643,13.473793345949726,7.178218850791098,0
"(43300000,)","(43300000,)",7678817,76788,5.661469999999989,6.580054659753238,17.109194152315837,204,2.7760372471671597,12.288831884955666,11.894568110996719,12.673363723973662,12.391864595896784,11.932180686676332,12.762780318899145,4.68404540274906,0
"(43429998,)","(43429998,)",7678537,7678,14.256,8.218999731018686,20.118972635546235,203,3.1825495650065534,14.464012404584148,14.039793805517096,14.904033008899201,14.585771380200018,13.646948296621186,14.85343233360754,6.2354894317076175,1
"(43670000,)","(43670000,)",76783311,7678,21.952,9.810857919750143,19.407402523795668,200,2.8305391775613193,14.870934063184086,14.466736990114745,15.26374871309992,15.137939474201637,14.743829034751297,15.716739503279051,6.386371674190679,0
"(43675000,)","(43675000,)",7678235,76782,2.2008,6.150159039823938,17.275242321080352,208,2.878572575576283,12.18883933243552,11.800010769928353,12.564777238601714,12.290107482359026,11.965962625709984,12.779705059775386,3.244994848829651,0
"(43880000,)","(43880000,)",76781573,7678,26.507345,8.800505633933259,22.144799206955096,193,3.2263388787298024,15.538393493021216,15.069683471857582,16.001145489821997,15.77748311707187,15.10953090301936,16.36411529053929,6.661542935696486,0
"(43980002,)","(43980002,)",7678139,7678,19.7051,9.633472314003868,21.620512322719566,211,3.1268284789512224,15.684181924951416,15.26964509238698,16.094867863594335,15.803021031126683,15.300068530053453,16.302095495087638,7.36293446178685,1
"(44200000,)","(44200000,)",767557,76,480.486,12.85004136679284,23.28688003245903,204,2.7676846773584654,18.803645632982192,18.41615445363521,19.196920418005746,19.013179055065592,18.677761738912007,19.51693441394353,10.94022701947045,0
"(44250000,)","(44250000,)",767231,7672,6.8993,6.644080275664463,20.209582746097137,188,3.234508491725648,14.965160303485366,14.52982066549382,15.4123719969738,15.543060176586435,15.048792773257997,15.828974916004958,5.424492035788688,1
"(44290002,)","(44290002,)",7671751,76,539.255,13.69866097631365,24.120228459064414,195,2.7591507031726663,19.404695418377656,19.018100816445408,19.808333348570617,19.71164680174929,19.3023906960889,19.951645077081054,11.334630648644747,0
"(44500000,)","(44500000,)",7671113,76,499.1056,13.666148638885204,24.08503404891193,207,2.8354404442641856,19.575270899351477,19.209221196087668,19.944226594068503,19.927069073500782,19.45245433974624,20.433359493939946,11.720650187182994,0
"(44540000,)","(44540000,)",7658713,7658,0.9242,5.686679924472806,17.334793341356274,187,3.020686859925388,12.255734296453362,11.826050268525538,12.696970268517337,12.463423366942626,12.07474837310149,12.937327563736728,3.4001555692602228,0
"(44630000,)","(44630000,)",7669391,766,0.2635,4.324602146186563,15.980926363513332,196,2.9466086547942347,11.516972028177527,11.12191599367093,11.919632331079926,12.036933072916693,11.566112963087235,12.551191234728199,2.4072037385815115,0
"(44670000,)","(44670000,)",766519,766,0.0224,4.67296953889229,18.12491760374658,207,3.3568084036229644,12.369561658048438,11.928980636670719,12.805954809163454,12.783917436161198,12.406745895806392,13.170731933871734,2.6811531596150058,0
"(44950000,)","(44950000,)",766191,766,0.0,4.961632207127836,17.849448241688584,195,3.190684303599516,11.89852155188476,11.487361653018691,12.327729328805654,12.348968979416117,11.659736600937908,12.847638771332305,2.2654637287377897,0
"(45131000,)","(45131000,)",765641311,76564,29.2342,10.222596611054898,20.39871166575592,224,2.8397825471620592,15.945411785948668,15.573707733482857,16.331734898552508,16.49849557184735,15.857852879987995,16.89684470120278,7.961080122684789,0
"(45170001,)","(45170001,)",7656571,7656,35.2917,8.013055607711987,20.756460617294504,199,3.4211819937107535,14.813726911016236,14.323218483509445,15.274264736890942,15.275823483195145,14.720537850155313,16.157123817639544,6.420252336958508,0
"(45210000,)","(45210000,)",7656393,7656,60.6356,9.224915164913178,20.431096906030028,216,3.31477612019247,15.376837772404636,14.9453137232639,15.805128559918852,15.885249491501106,15.351460216362666,16.394815382356956,6.5217304425916875,0
"(45220000,)","(45220000,)",765623371,76562,3.8259,7.98067624032118,19.785162771831665,208,3.14342370399067,14.532724399163065,14.143508959838016,14.946015127485305,15.114777524192643,14.48693455760166,15.416403912145407,4.454443793827355,0
"(45260000,)","(45260000,)",7656193,7656,64.84307000000018,7.9440807158132385,20.381470698167167,180,3.4762910265434845,14.931306855845186,14.38139911405295,15.409117607456295,15.741072501501478,14.98887499413395,16.168289573192116,6.462852075986671,0
"(45298000,)","(45298000,)",765593,76,592.418,13.948257094529126,24.99174641648683,223,2.9496003516859,20.245568154076075,19.88238192746637,20.601139036990176,20.578586052801313,20.036311831608984,21.341981096555752,12.049522412968672,0
"(45480000,)","(45480000,)",765131,76,521.196,13.500522631933869,24.439664983390916,225,2.8540441385275646,20.01163742286437,19.64050628517571,20.370812741067095,20.629275136329312,20.018166283772903,20.938490689842737,12.130193007638894,0
"(45590000,)","(45590000,)",76461117,7646,21.0648,10.688504296372946,21.137930076182958,194,2.8899631001032637,16.409586495068126,16.03167482431051,16.80155348453627,16.796388696727124,16.083743534153154,17.25901580296304,8.66818843367206,1
"(45740001,)","(45740001,)",764711,764,19.308,9.705228911250536,22.21682318426128,221,3.5325716885120193,16.55849188658512,16.093320804580244,17.018289108836083,17.00441759672111,16.413814934882403,17.657722389256605,7.3331509970667135,1
