,codigo,cobacia,cocursodag,q95,LinearRegression_intervalo_i,LinearRegression_intervalo_f,LinearRegression_qtde_dados,LinearRegression_desvio_padrao,LinearRegression_media,LinearRegression_media_lower_bound,LinearRegression_media_upper_bound,LinearRegression_mediana,LinearRegression_mediana_lower_bound,LinearRegression_mediana_upper_bound,LinearRegression_moda,LinearRegression_dentro_intervalo
"(40963000,)","(40963000,)",7695835177,76958,4.3,-46.98155677700022,2753019895597.9375,206,7232491698746.343,-150540891674.61658,-1216550526218.114,678217198137.3682,2.4382946380945185,-1.7316617689174,7.4889073413401235,-85947616874382.44,1
"(40975000,)","(40975000,)",769565991,76956,1.8049,-51.49078518977005,35.096807222295254,186,3974777419793.3975,-253477814312.58032,-948280520641.2917,189985031979.92407,-1.789834056383981,-5.885768000798204,3.4041414819924682,-48918632957112.55,1
"(41020002,)","(41020002,)",7695557,76,267.5,65.38620487134789,957.2677747702437,200,18774999082385.086,-1323165005576.3826,-4215642512809.583,436307217467.4037,168.52278092976115,154.11200762083485,184.01368176244347,-254022470081055.25,1
"(41050000,)","(41050000,)",76954793,76954,2.8698,-46.92751701902309,33.007890786685635,186,116610164580.73428,-8550272114.031675,-25650816333.070484,-2.811432858787143,-5.310234639551211,-8.451477017617348,-0.780167217952652,-1590350612272.5461,1
"(41075001,)","(41075001,)",769543991,76954,9.669585,-42.12627222113526,64.61515316751225,186,2953761018158.9585,77084368259.94112,-302161307796.5866,511839332232.393,7.875859544745033,4.949304021410015,13.226143042641922,-15183731817990.273,1
"(41135000,)","(41135000,)",76951173,76,230.307,-81652454983.97787,759.782554414749,193,10195985007150.818,-281380703755.3852,-1649336923384.808,1153898844689.8254,187.88847408906742,176.98960998030557,200.09651741410016,-78599378113641.06,1
"(41150000,)","(41150000,)",769499975,7694,1.46,-45.539697621584644,45.27302085251035,178,2756769638249.081,211312926696.39032,-113283743516.81757,691614861989.9805,2.9792593088397794,0.38773257668101735,6.254434642017046,-9052241598973.023,1
"(41151000,)","(41151000,)",769499975,7694,0.8705000000000002,-37.66297876267906,31.495571962490498,191,6826481971842.263,-552879057177.5393,-1587095284436.9226,50143025617.20511,1.3383070535761163,-2.6708277358575714,4.747255744202718,-92656949798921.25,1
"(41180000,)","(41180000,)",76949983,7694998,3.4419,-34.38124216006187,46.63607293820803,181,1545998670718.446,-13490441479.106224,-250265869582.5903,197398061680.09717,2.847082465383039,0.23623563439186057,4.967024310950066,-16618420753660.826,1
"(41199998,)","(41199998,)",769499571,7694,11.5124,-1075134765574.9944,60.84844354529909,212,5690142551924.98,-199197013689.3817,-979092987146.4664,518806921282.6826,6.434386603742659,3.0936256783592526,8.301473631740919,-64072562919275.55,1
"(41250000,)","(41250000,)",76949831,769498,1.3317,-47.42834150179179,48.67033096916204,191,4632417400909.117,-26994295602.387886,-701082612121.5391,582631746813.2151,4.6240546135976786,1.418004321251587,8.692279661048858,-44925662701721.29,1
"(41260000,)","(41260000,)",7694977,7694,18.8523,-36.10875187541079,73.80648759403992,220,2964982763756.1577,71886928200.97102,-241794695454.34607,500492888182.837,21.36872869350765,16.609179555179782,24.69262960996275,-14430483649440.344,1
"(41300000,)","(41300000,)",76949639,769496,1.523,-50.54333724806147,48.65105596657049,212,6661591081571.251,-356032198587.22186,-1388563695760.862,305205409114.3255,2.7551459971780545,-0.3348414247278476,5.246228086693526,-91375539275900.53,1
"(41340000,)","(41340000,)",76949597,7694,21.8598,-30.33673688823739,82.74277882603936,175,3354120638865.4824,110440630497.24127,-323003915682.3468,626349334116.9244,22.62239262939194,19.30316684325915,28.21793124285489,-19869253289212.02,1
"(41380000,)","(41380000,)",769495811,7694958,0.98,-47.67359483748698,47.00822998855851,220,7225224559979.027,-145381285064.26282,-1205033517079.3103,665837431994.3218,3.13473317094234,-1.1641890115510058,7.066673977866148,-91760168175464.16,1
"(41410000,)","(41410000,)",769495597,7694,26.3377,-45031520498.75433,112.62867621262387,192,6018403047933.092,-108627975438.15657,-1160583213622.1963,602356309738.1211,30.376792936258212,25.746151735756655,34.62381258740121,-71999967431934.58,1
"(41440005,)","(41440005,)",769495675,7694956,0.5381,-38.273581579057144,47.55734818542174,208,1824974663246.662,103576116733.91422,-127681509802.24622,384555010819.8432,3.2729187162397793,0.07394035544602673,5.500963677754058,-12660993904126.39,1
"(41539998,)","(41539998,)",769495633,7694956,1.4889,-51.91325368063444,3111801971728.293,175,3878933665919.646,12381584221.075804,-620931004957.4778,575450411944.3073,0.9454837197149573,-4.030126427382754,4.779087759220317,-40755351610140.76,1
"(41600000,)","(41600000,)",769495513,7694,27.9617,-27.010418713901124,127.0454807140862,192,3641900631744.766,182629811758.01996,-267058390072.56448,768299150332.4941,31.787956393850795,26.784397850163856,37.51254168666187,-20642922900524.613,1
"(41650002,)","(41650002,)",7694937,7694,30.8772,-11.187962466197757,179.09284428812293,193,1239097573369.3276,64313678920.14265,-77724232683.07729,258829885421.77423,40.303935972791166,35.00452309467715,44.587734314154126,-8188390719313.108,1
"(41685000,)","(41685000,)",769492513,769492,0.0535,-66.01017933711707,44.51559688258965,204,1271314142530.1343,11690942002.930569,-158633784119.05554,173921025830.1193,0.3904912506378082,-1.5100753742204631,4.43450252033833,-12605295566738.465,1
"(41780002,)","(41780002,)",7694837,76948,8.7703,-34.331338571402945,189368752797.8657,196,3597212179549.816,26935751434.66996,-583429816244.2827,478272483645.0889,14.175286147436495,11.289847969378798,19.391639684316665,-38427218720721.82,1
"(41818000,)","(41818000,)",7694713,7694,41.95629000000001,-5.116814129685184,248.96882743647208,195,381581134800.5305,-23296865586.646194,-82421150192.35469,8927794307.491192,51.074176141783475,47.98533666799353,57.174219905691075,-5251188336388.224,1
"(41890000,)","(41890000,)",7694439,76944,1.0565,-50.07630598014545,38.09628844523004,200,1770311710154.3345,127532368116.16643,-54409552122.17877,414695406732.62897,-4.208237384115904,-7.233262081788862,-0.30102752493043994,-3614763458926.6143,1
"(41940000,)","(41940000,)",76942133,76942,0.3474,-43.69753723185965,41.77782013904018,180,2079094016349.964,251081732751.63126,-3.7115255028557006,611430936259.5626,-2.939751011006507,-6.225202352455373,0.46735643850903885,-54.35360852621119,1
"(41990000,)","(41990000,)",76941371,7694,49.4681,-0.5865840607818653,280.31263156790095,214,1190890147831.5823,-50990851746.36785,-248724121093.30325,79631149184.0425,74.7318052718276,66.85458649097725,80.5346025732994,-15447981031215.129,1
"(42089998,)","(42089998,)",769257,7692,0.9925,-47.155399120359135,61.643734127336806,195,1502043330069.0059,165521049667.9868,6701647056.765779,413248070904.81287,4.310867974921479,1.4024872314700474,7.935887899709314,-57.308203419289725,1
"(42100000,)","(42100000,)",7692453,76924,0.265,-92293541787.40671,34.3287261857909,206,2359474780554.2803,-265992837123.31393,-605526066794.0779,-468675318.78805244,-3.7852216180891816,-7.514763870560806,-1.1097521371444614,-20124149786080.05,1
"(42145498,)","(42145498,)",769235,7692,1.4438,-42.6422248951492,59.983628983017084,204,1463266902695.794,3424278974.6320176,-227987228645.73608,202176955955.69943,5.38294085696689,0.02089641888915139,9.343236844622336,-14302871147920.025,1
"(42187000,)","(42187000,)",76912733,76912,0.9316,-81203736046.49911,41.98160387085973,209,2509396481933.608,-296247901133.9309,-666430002183.7969,2026218860.0906847,-4.119524365818975,-8.487125459310917,-1.6827664825536601,-19648017107568.375,1
"(42210000,)","(42210000,)",7691133,76,351.6975,127.35731647080499,619.5515374354462,186,7733987831467.836,-863253423705.086,-2080552750188.1206,-24448319386.198208,287.25700648926517,275.71556164318446,305.2527192124271,-95450777479563.94,1
"(42250000,)","(42250000,)",76899393,768,1.3146,-62.354540840393724,36.40148876614228,182,2723547283169.6084,145798248381.14172,-211177445437.7647,553612351934.8464,-4.5004270535578,-9.92772353559053,-2.635806230457028,-15761452237007.418,1
"(42251000,)","(42251000,)",7689577,768,4.2191,-50.08759648440257,44.05204776129361,184,3856462740307.353,27601003447.795135,-489652223245.93994,622824592147.6022,-0.6898036998156272,-7.071700699445728,2.3145278703703127,-25918784516775.125,1
"(42255000,)","(42255000,)",768944393,768944,0.5634,-62.84514060305852,31.722095638102005,197,2523840587125.495,-9346310929.154942,-353964144507.20087,366591294967.35364,-8.514057726491046,-11.907377332666968,-5.614690280272029,-21772308671416.453,1
"(42257000,)","(42257000,)",7689411,76894,3.9056,-54.90772982451784,38.08437260715308,186,2318807150631.1846,80265307226.9173,-222142919435.66174,420729927312.2475,0.3827944989895187,-5.501688216060283,4.1324173472133765,-15686255626045.049,1
"(42290000,)","(42290000,)",768911,768,14.04103499999995,-2414281797697.681,90.99191484916373,177,9158862903819.785,-1016426070686.8395,-2548038435326.956,34160561745.146217,20.397180647643722,12.62393152232139,24.43095514433793,-98007789321218.0,1
"(42365000,)","(42365000,)",7688133,7688,9.8188,-45.38609178382291,49.12733733503299,216,2405705860025.715,201838302978.19766,-1184980546.318578,606122211459.5688,4.2354235480248335,1.3526266712676467,7.437635190627482,-127977899390.98724,1
"(42395000,)","(42395000,)",768755,768,24.3336,-30.586552115177007,458.7503412229925,213,4020250507520.871,-200758230031.5069,-847553269295.0,204215665544.30188,38.70795703575497,31.304596457804564,44.634679509723874,-55652776333290.555,1
"(42435000,)","(42435000,)",768641,76864,1.5634,-49.596964365589656,42.74245984906414,199,1075280779837.161,-113986318589.05173,-283353095428.7117,7445673036.617352,-3.8587770297620807,-8.058601257856594,0.0814901288721205,-11964252652736.002,1
"(42440000,)","(42440000,)",7686915,7686,1.2908,-3185554706329.3,33.98617147789453,207,2949987101627.0093,-46034480699.93347,-414625621169.311,359070371116.24817,-8.378561424876068,-12.782559693550908,-3.2399432601596203,-19809430689946.984,1
"(42460000,)","(42460000,)",76847751,7684,14.8822,-3654781016090.6895,9471880765573.879,202,5184016534459.488,85188889614.21165,-677155122392.1511,759734196726.9519,17.61011514455712,12.29272382969451,21.437091175576676,-49181873259301.66,1
"(42490000,)","(42490000,)",76847333,7684,14.6056,-46.34056387143332,70.01720707355115,193,4322418648950.92,-157854986825.6175,-816830876552.824,371893609727.2926,14.884285540405969,8.69550099083645,22.143868887112625,-51214978720645.6,1
"(42540000,)","(42540000,)",7684717,7684,16.5676,-46.94895263607566,72.53258864226805,201,2314287240364.593,75546385812.91437,-162890933791.0511,437131392407.58246,18.291206033910242,12.513824968499392,24.120552360905435,-9834584739590.0,1
"(42545002,)","(42545002,)",7684653,76846,0.9202,-747166343570.99,40.77800509372355,184,1804578992718.38,-132690961853.52628,-393318923204.9166,102813050890.3562,-14.167813741184645,-18.26941678733081,-10.659786946343981,-16169898006350.99,1
"(42545500,)","(42545500,)",76846111,76846,1.0102,-65.16013846332056,44.848098946191556,188,3566384870299.582,-62409679654.47515,-638881913451.131,425434638177.7855,-8.556578486662325,-14.39864819904247,-3.4845041694097105,-41280768044212.266,1
"(42546000,)","(42546000,)",7684473,76844,1.1114,-186784020589.5717,39.61943266248826,184,1989472475461.8752,-28053668586.090607,-309240745158.33264,280270494768.6552,-8.589936710411848,-14.292920650775883,-4.384768368306567,-15913222922836.7,1
"(42600000,)","(42600000,)",7684319,7684,19.0626,-39.7630271238295,132.07713076478103,208,5349109229139.358,-539429180867.4137,-1398863216924.3384,-12676403276.383905,21.909529417269283,14.547249985420812,27.32860915375616,-69701572377558.74,1
"(42690001,)","(42690001,)",7683771,768,48.2795,-3012898782651.543,2775260636565.41,210,13248142167479.297,-1238357893676.3352,-3168221501644.9287,226628425321.239,90.82391731717811,78.55056555189628,99.44094981232303,-127505402933157.48,1
"(42750000,)","(42750000,)",76833,768,60.9434,-233226074879.51114,259.4745245874546,194,2950126111414.296,-252895377913.51962,-712332994248.3885,91041526240.25804,94.42988359310249,87.53130228954873,101.27277948261036,-30779215859726.207,1
"(42840000,)","(42840000,)",76829935,7682,0.8080000000000002,-55.13996817337998,31.238491378053265,193,1669171410665.321,-11255943862.89195,-280513686411.70557,224427539582.77197,-10.387035702990985,-14.902272915501243,-6.930106664978128,-16586869983279.377,1
"(42850000,)","(42850000,)",7682353,7682,4.8713,-56.649536822094596,3673254335968.512,202,3114893581188.7974,367515854903.34204,51900848.861302555,825072743785.6841,1.6329234686180314,-3.5254288624674643,5.1880030045197785,-7644828156590.622,1
"(42860000,)","(42860000,)",768215,7682,6.2164,-48.34858076669942,59.553002852974736,180,2715129709578.943,68330681656.48149,-320615745822.81116,462967800956.811,3.7020921861886507,-0.4171106695324056,8.658382279239751,-23292820857977.184,1
"(42980000,)","(42980000,)",768173,768,72.7823,-448515529742.71875,967.1113856543491,191,7686401964486.53,-96787473472.28485,-1166814503780.1606,1045360612781.558,115.85320204029313,107.13548950894497,127.06807857924109,-59687352294319.98,1
"(43200000,)","(43200000,)",76795,76,417.366,212.6445120702278,1311.196890865969,210,26949337462416.793,2370816222068.7905,-736492736182.8898,6224929491972.377,403.59997412977884,380.40081591757837,442.13509691777557,-155054954656869.66,1
"(43250002,)","(43250002,)",76789191,7678,3.9026,-56.035488791566884,55.69206244971183,193,3403636891624.82,3127535521.5567923,-449349705628.9315,459704558262.29083,4.639114154504796,0.8027778694267909,11.125615750922762,-26036278602022.527,1
"(43300000,)","(43300000,)",7678817,76788,5.661469999999989,-51.781672833224775,113.91934740878926,204,6451355848257.984,-270089501468.07306,-1246902055230.617,432203859191.74664,6.187068525876839,1.9694362506455463,13.78983759156062,-84739994519537.14,1
"(43429998,)","(43429998,)",7678537,7678,14.256,-31.592329456711703,161.7854394580303,203,3886347157306.9326,-163566686778.04492,-859234211817.6561,226902980772.4782,38.46453185812978,34.211133923734245,43.5704537598883,-52112586772507.66,1
"(43670000,)","(43670000,)",76783311,7678,21.952,-18.606261635534146,280.2801178086972,200,516136690278.89087,20814967972.327423,-44478747144.337944,103369280905.84932,50.69661631851184,44.55129246520467,57.94299614538569,-3755771739523.525,1
