,cluster,repeticao,modelo,mse,mae,r2_score
431,0,61,xgbr,2346.0811555273112,25.787318940371183,0.9594350848979304
432,0,61,xgbrf,765.3572995383973,18.02822016962435,0.9867665899769157
433,0,61,lr,2988.3793937811597,35.54849547295633,0.9483294275153663
434,0,62,brr,13659.986202040362,75.58431570833348,0.8208629670556421
435,0,62,svr,95906.51477603479,75.58431570833348,0.8208629670556421
436,0,62,knnr,6047.304993596756,43.18498255555548,0.9206956538725704
437,0,62,rfr,3065.5772073413073,38.70606805999992,0.9597980263623586
438,0,62,xgbr,9093.583106932854,50.06607280058779,0.8807467685168255
439,0,62,xgbrf,5601.513577172426,39.88250838043846,0.9265417616554895
440,0,62,lr,13625.545363206482,75.58431570833363,0.8213146241502806
441,0,63,brr,11501.360134098999,66.71320137500014,0.43773142033705725
442,0,63,svr,21114.915629242078,66.71320137500014,0.43773142033705725
443,0,63,knnr,809.761159765619,19.340529777777782,0.9604130944636924
444,0,63,rfr,10298.341328253953,77.40537730833336,0.4965435666731126
445,0,63,xgbr,5256.774161444168,62.0158145316976,0.7430113563176746
446,0,63,xgbrf,5623.610924359119,66.66401475752768,0.7250777568783506
447,0,63,lr,11478.497200726359,66.91222527475367,0.4388491237151343
448,0,64,brr,5474.036287015497,46.72685625673295,0.9148753103706778
449,0,64,svr,77286.33103302859,46.72685625673295,0.9148753103706778
450,0,64,knnr,1950.5419893037958,22.82983266666675,0.9696678515189433
451,0,64,rfr,3462.2021118266944,39.131403611666585,0.9461605906956976
452,0,64,xgbr,6966.707468875934,39.62451683490758,0.8916633394570215
453,0,64,xgbrf,2756.8106184882754,25.3793458644995,0.9571298698142938
454,0,64,lr,5310.408721292041,46.88643260081763,0.9174198214072689
455,0,65,brr,3648.519093567032,41.559299322252855,0.9385476423889525
456,0,65,svr,71748.37552799468,41.559299322252855,0.9385476423889525
457,0,65,knnr,634.1444477648649,16.503281333333316,0.989319044143193
458,0,65,rfr,3149.854819215872,33.80510908238094,0.9469466926691914
459,0,65,xgbr,3849.9427738317604,34.18713553522857,0.935155043991212
460,0,65,xgbrf,3470.705862263045,33.82581797968102,0.94154256772656
461,0,65,lr,3657.621586028802,43.483437743249084,0.9383943282339303
462,0,66,brr,7071.789102872926,50.64627702802633,0.8961214691233844
463,0,66,svr,81591.64878601824,50.64627702802633,0.8961214691233844
464,0,66,knnr,6090.647545955649,41.080660000000016,0.9105335990712582
465,0,66,rfr,5186.7757319655675,48.15440632333331,0.9238107026121326
466,0,66,xgbr,4400.833996450098,34.627393217883,0.9353555142082246
467,0,66,xgbrf,2580.7918500263067,28.462409258946824,0.9620903760025643
468,0,66,lr,7053.144156550651,50.82323420826333,0.8963953474311305
469,0,67,brr,347.7205735741611,12.625646551268243,0.9922683103847931
470,0,67,svr,49805.286976063675,12.625646551268243,0.9922683103847931
471,0,67,knnr,729.6245016513005,15.552518833333439,0.9837765418237047
472,0,67,rfr,2621.524946849196,35.91927822500012,0.941709468038604
473,0,67,xgbr,339.95664522348005,11.702703637283614,0.9924409440704711
474,0,67,xgbrf,465.57820725725986,16.36510148913055,0.9896477043244327
475,0,67,lr,544.2458334899525,13.774295852824938,0.987898501904385
476,0,68,brr,1217.013455730622,22.576903601529658,0.9711266822648568
477,0,68,svr,44904.269958329816,22.576903601529658,0.9711266822648568
478,0,68,knnr,1500.9071990229754,18.295645444444514,0.9643913793686547
479,0,68,rfr,9337.708768836752,70.86729561333338,0.778465364592868
480,0,68,xgbr,2633.7169752969803,34.865706457784015,0.9375157713383392
481,0,68,xgbrf,2932.471829975085,37.693114167541495,0.9304278925614698
482,0,68,lr,1282.1068046889452,22.065661016292278,0.9695823600241549
483,0,69,brr,1310.8113594537194,21.523486864281868,0.9648691863964434
484,0,69,svr,42831.18811297861,21.523486864281868,0.9648691863964434
485,0,69,knnr,4229.166643935766,29.15189072222225,0.8866548844004489
486,0,69,rfr,3935.0054054535144,36.52509115166671,0.8945386455259384
487,0,69,xgbr,2718.815100798645,24.1637478963184,0.9271335376827237
488,0,69,xgbrf,2012.4780456430715,24.34068796435353,0.9460639468884364
489,0,69,lr,1419.579736530992,23.376414840331055,0.9619541051732722
490,0,70,brr,6705.774285141609,63.9659944583335,0.8886545965328625
491,0,70,svr,78506.01091206486,63.9659944583335,0.8886545965328625
492,0,70,knnr,4562.176909553506,32.068035555555525,0.9242477591576188
493,0,70,rfr,2909.8288287467817,34.1919818966667,0.9516840187008656
494,0,70,xgbr,7489.111904424466,46.48136576331839,0.8756477401190853
495,0,70,xgbrf,4916.413973443269,37.95381536235554,0.918365862880672
496,0,70,lr,6503.446262788537,63.96599445833358,0.8920141333027667
497,0,71,brr,23436.890599360915,69.08166241666677,-1.3457406470255848
498,0,71,svr,10367.964367079674,69.08166241666677,-1.3457406470255848
499,0,71,knnr,5058.267806818146,28.83728216666668,0.4937304354564068
500,0,71,rfr,22477.103900381422,112.24447559333336,-1.2496779606071016
501,0,71,xgbr,16275.436251553278,84.23275749802653,-0.6289683224609708
502,0,71,xgbrf,22955.30660494087,104.96415128037515,-1.2975400913299056
503,0,71,lr,23514.49414752718,69.1834997880393,-1.3535077949975083
504,0,72,brr,4954.225798835399,35.43051666673599,0.9260112057088175
505,0,72,svr,77333.06641434217,35.43051666673599,0.9260112057088175
506,0,72,knnr,4821.728263483068,36.73387899999996,0.9279899877194349
507,0,72,rfr,4053.2939269796393,36.35323885499999,0.9394661562184965
508,0,72,xgbr,3596.8623345710334,32.35722401614888,0.946282725460588
509,0,72,xgbrf,3696.3252036756517,32.974684717277526,0.9447972990669177
510,0,72,lr,4969.150331152988,35.334467829336745,0.9257883155547599
511,0,73,brr,4445.606617985303,35.94667066100295,0.9314293767374024
512,0,73,svr,73646.11789562339,35.94667066100295,0.9314293767374024
513,0,73,knnr,2724.4482390859794,24.37254666666663,0.9579771379129638
514,0,73,rfr,5072.492209718231,40.76665056499997,0.9217600696139239
515,0,73,xgbr,3529.7451799093415,25.42420499943145,0.9455559504600924
516,0,73,xgbrf,2433.988380289074,19.831066867743807,0.9624572944499576
517,0,73,lr,4894.571877692043,41.292208036423965,0.9245043763208571
518,0,74,brr,3135.9603140898703,33.71006398363603,0.8996129488222846
519,0,74,svr,33561.67923079316,33.71006398363603,0.8996129488222846
520,0,74,knnr,645.9621869267478,11.3160843888889,0.9793217283947981
521,0,74,rfr,13840.33606279599,88.05770601833338,0.5569489453006948
522,0,74,xgbr,2449.1195974157145,34.13895620306396,0.9215998068401987
523,0,74,xgbrf,3315.426362137164,46.80009896632894,0.893867956684138
524,0,74,lr,3241.2970833905065,34.592782919359124,0.896240952179608
525,0,75,brr,400.2287617445419,13.586200352581805,0.9904946837575866
526,0,75,svr,49501.375637419216,13.586200352581805,0.9904946837575866
527,0,75,knnr,1108.9684916382653,20.11287988888891,0.9736623220931282
528,0,75,rfr,7820.338210799515,41.69373920500003,0.8142692506848743
529,0,75,xgbr,1198.0539723139893,18.91639389558848,0.9715465679360827
530,0,75,xgbrf,3626.931737000276,31.555942433265088,0.9138614301491952
531,0,75,lr,456.34057980826947,14.26884796668312,0.9891620444607313
532,0,76,brr,5904.732913973956,48.914418860692045,0.7935993332417719
533,0,76,svr,29818.97838005028,48.914418860692045,0.7935993332417719
534,0,76,knnr,297.5681196630963,10.015587500000013,0.989598469702312
535,0,76,rfr,5388.175890372975,57.814506285000014,0.8116556476666921
536,0,76,xgbr,3884.650231380963,45.14651695133463,0.8642115723842421
537,0,76,xgbrf,4346.460133743574,51.402777156412746,0.8480689503297172
538,0,76,lr,6692.7725822350685,51.88880771443392,0.7660533095128917
539,0,77,brr,7125.68838175203,48.86936591666661,0.8966118249891192
540,0,77,svr,82668.50436725769,48.86936591666661,0.8966118249891192
541,0,77,knnr,2972.481252635771,22.99501094444445,0.9568716178003132
542,0,77,rfr,3673.5499739130905,39.04218829833337,0.9466996580166533
543,0,77,xgbr,4418.5001282443955,32.500355318592206,0.9358910128999761
544,0,77,xgbrf,2069.473451668078,21.13474222909993,0.9699735559655749
545,0,77,lr,6974.244797296885,49.55815873853562,0.898809153159408
546,0,78,brr,1284.605629133412,26.760358302094797,0.9653827542582509
547,0,78,svr,39699.155531758704,26.760358302094797,0.9653827542582509
548,0,78,knnr,196.228134858867,8.602683277777793,0.9947120910793168
549,0,78,rfr,2921.864240702712,44.156833410000004,0.9212623001561437
550,0,78,xgbr,1011.1153099297501,26.46482901750688,0.972752706073151
551,0,78,xgbrf,2079.7214826431614,38.07248400769039,0.9439561621043029
552,0,78,lr,1329.0454005225874,27.698351673620383,0.9641852019106686
553,0,79,brr,2328.9844656980363,26.659706345665253,0.929130141311606
554,0,79,svr,35631.07820579614,26.659706345665253,0.929130141311606
555,0,79,knnr,1976.5288956038535,22.211931555555456,0.9398551919997503
556,0,79,rfr,3190.6166555823816,30.825432895000137,0.9029110950114526
557,0,79,xgbr,4293.207311730119,37.27637387389618,0.869359800383597
558,0,79,xgbrf,2358.558400281832,25.900042595909227,0.9282302209404389
559,0,79,lr,2378.1268214410134,27.247267049769167,0.9276347634512493
560,0,80,brr,4677.440324035138,34.4496181004994,0.9294483683266912
561,0,80,svr,76313.9271526846,34.4496181004994,0.9294483683266912
562,0,80,knnr,3445.188267953779,28.931716888888854,0.9480349000976258
563,0,80,rfr,9098.096647289636,66.04630746333326,0.8627699085139795
564,0,80,xgbr,3434.749830907424,27.78671613550471,0.9481923470589382
565,0,80,xgbrf,1911.3529027838251,24.274988355255157,0.9711703289292674
566,0,80,lr,4594.661099797829,35.31367940766155,0.9306969592084569
567,0,81,brr,3227.088081992575,28.28417951934637,0.889687164820763
568,0,81,svr,32296.175164899174,28.28417951934637,0.889687164820763
569,0,81,knnr,1098.018355547653,17.799940333333392,0.9624660019182012
570,0,81,rfr,3571.2924150378017,36.63216501000002,0.8779210912291948
571,0,81,xgbr,2227.9201503043178,23.23470874719862,0.9238421195552646
572,0,81,xgbrf,1985.6696597936937,25.18491525026196,0.9321230644048664
573,0,81,lr,3258.6506165499623,28.51449789153126,0.8886082501509416
574,0,82,brr,16398.505524351513,74.3192747532963,0.8026521764120375
575,0,82,svr,100859.15067971943,74.3192747532963,0.8026521764120375
576,0,82,knnr,8108.848576674185,47.19693916666659,0.9024140574252555
577,0,82,rfr,10410.034799170857,69.51247722333324,0.8747204305879841
578,0,82,xgbr,14524.917201415177,59.01343284265208,0.8251998760961481
579,0,82,xgbrf,11700.449057900083,54.04165943316904,0.8591909394944865
580,0,82,lr,16483.572444976096,75.03838517950201,0.8016284385098449
581,0,83,brr,2003.5188776581576,36.90006737771916,0.9599356876716024
582,0,83,svr,61170.82986373133,36.90006737771916,0.9599356876716024
583,0,83,knnr,1297.0364390945583,19.128451277777824,0.9740631977184377
